id_venda,data,id_loja,categoria,unidades,receita_brl,nome_loja,regiao,uf,gerente
V00001,2026-01-13,101,Bebidas,102,4406.88,Asa Norte,Centro-Oeste,DF,Marina Alves
V00002,2026-01-18,101,Bebidas,32,1116.42,Asa Norte,Centro-Oeste,DF,Marina Alves
V00003,2026-01-02,101,Higiene,44,1068.75,Asa Norte,Centro-Oeste,DF,Marina Alves
V00004,2026-01-03,101,Higiene,149,3481.39,Asa Norte,Centro-Oeste,DF,Marina Alves
V00005,2026-01-08,101,Limpeza,131,2618.74,Asa Norte,Centro-Oeste,DF,Marina Alves
V00006,2026-01-02,101,Limpeza,43,888.01,Asa Norte,Centro-Oeste,DF,Marina Alves
V00007,2026-01-08,101,Mercearia,164,2351.21,Asa Norte,Centro-Oeste,DF,Marina Alves
V00008,2026-01-02,101,Mercearia,180,2898.82,Asa Norte,Centro-Oeste,DF,Marina Alves
V00009,2026-01-02,101,Padaria,167,2236.75,Asa Norte,Centro-Oeste,DF,Marina Alves
V00010,2026-01-28,101,Padaria,76,886.85,Asa Norte,Centro-Oeste,DF,Marina Alves
V00011,2026-01-05,102,Bebidas,54,1995.37,Taguatinga,Centro-Oeste,DF,Bruno Sato
V00012,2026-01-10,102,Bebidas,158,5580.41,Taguatinga,Centro-Oeste,DF,Bruno Sato
V00013,2026-01-06,102,Higiene,163,4408.95,Taguatinga,Centro-Oeste,DF,Bruno Sato
V00014,2026-01-21,102,Higiene,46,1178.17,Taguatinga,Centro-Oeste,DF,Bruno Sato
V00015,2026-01-18,102,Limpeza,68,1343.86,Taguatinga,Centro-Oeste,DF,Bruno Sato
V00016,2026-01-20,102,Limpeza,36,745.84,Taguatinga,Centro-Oeste,DF,Bruno Sato
V00017,2026-01-18,102,Mercearia,72,1135.53,Taguatinga,Centro-Oeste,DF,Bruno Sato
V00018,2026-01-15,102,Mercearia,129,2173.95,Taguatinga,Centro-Oeste,DF,Bruno Sato
V00019,2026-01-12,102,Padaria,169,2446.28,Taguatinga,Centro-Oeste,DF,Bruno Sato
V00020,2026-01-06,102,Padaria,96,1182.24,Taguatinga,Centro-Oeste,DF,Bruno Sato
V00021,2026-01-10,103,Bebidas,82,2868.17,Moema,Sudeste,SP,Carla Nunes
V00022,2026-01-11,103,Bebidas,154,5991.16,Moema,Sudeste,SP,Carla Nunes
V00023,2026-01-03,103,Higiene,134,3191.02,Moema,Sudeste,SP,Carla Nunes
V00024,2026-01-06,103,Higiene,50,1259.28,Moema,Sudeste,SP,Carla Nunes
V00025,2026-01-16,103,Limpeza,107,1997.28,Moema,Sudeste,SP,Carla Nunes
V00026,2026-01-22,103,Limpeza,127,2299.34,Moema,Sudeste,SP,Carla Nunes
V00027,2026-01-19,103,Mercearia,39,655.34,Moema,Sudeste,SP,Carla Nunes
V00028,2026-01-12,103,Mercearia,100,1516.95,Moema,Sudeste,SP,Carla Nunes
V00029,2026-01-26,103,Padaria,172,2254.81,Moema,Sudeste,SP,Carla Nunes
V00030,2026-01-03,103,Padaria,136,1596.65,Moema,Sudeste,SP,Carla Nunes
V00031,2026-01-22,104,Bebidas,89,3444.65,Tijuca,Sudeste,RJ,Diego Prado
V00032,2026-01-23,104,Bebidas,36,1251.95,Tijuca,Sudeste,RJ,Diego Prado
V00033,2026-01-22,104,Higiene,99,2575.35,Tijuca,Sudeste,RJ,Diego Prado
V00034,2026-01-13,104,Higiene,134,3188.28,Tijuca,Sudeste,RJ,Diego Prado
V00035,2026-01-15,104,Limpeza,108,1946.4,Tijuca,Sudeste,RJ,Diego Prado
V00036,2026-01-04,104,Limpeza,110,2062.06,Tijuca,Sudeste,RJ,Diego Prado
V00037,2026-01-25,104,Mercearia,146,2056.7,Tijuca,Sudeste,RJ,Diego Prado
V00038,2026-01-08,104,Mercearia,93,1335.29,Tijuca,Sudeste,RJ,Diego Prado
V00039,2026-01-28,104,Padaria,121,1545.3,Tijuca,Sudeste,RJ,Diego Prado
V00040,2026-01-15,104,Padaria,147,1731.35,Tijuca,Sudeste,RJ,Diego Prado
V00041,2026-01-05,105,Bebidas,122,4809.2,Boa Viagem,Nordeste,PE,Elisa Rocha
V00042,2026-01-09,105,Bebidas,130,5513.02,Boa Viagem,Nordeste,PE,Elisa Rocha
V00043,2026-01-22,105,Higiene,126,3539.61,Boa Viagem,Nordeste,PE,Elisa Rocha
V00044,2026-01-05,105,Higiene,117,3266.18,Boa Viagem,Nordeste,PE,Elisa Rocha
V00045,2026-01-08,105,Limpeza,41,770.25,Boa Viagem,Nordeste,PE,Elisa Rocha
V00046,2026-01-27,105,Limpeza,79,1419.63,Boa Viagem,Nordeste,PE,Elisa Rocha
V00047,2026-01-10,105,Mercearia,170,2475.54,Boa Viagem,Nordeste,PE,Elisa Rocha
V00048,2026-01-18,105,Mercearia,21,302.84,Boa Viagem,Nordeste,PE,Elisa Rocha
V00049,2026-01-11,105,Padaria,114,1535.74,Boa Viagem,Nordeste,PE,Elisa Rocha
V00050,2026-01-17,105,Padaria,52,713.94,Boa Viagem,Nordeste,PE,Elisa Rocha
V00051,2026-01-24,106,Bebidas,178,7195.15,Meireles,Nordeste,CE,Fabio Lima
V00052,2026-01-28,106,Bebidas,33,1271.76,Meireles,Nordeste,CE,Fabio Lima
V00053,2026-01-13,106,Higiene,163,3985.89,Meireles,Nordeste,CE,Fabio Lima
V00054,2026-01-21,106,Higiene,120,2722.1,Meireles,Nordeste,CE,Fabio Lima
V00055,2026-01-03,106,Limpeza,122,2222.8,Meireles,Nordeste,CE,Fabio Lima
V00056,2026-01-04,106,Limpeza,73,1467.45,Meireles,Nordeste,CE,Fabio Lima
V00057,2026-01-04,106,Mercearia,107,1730.49,Meireles,Nordeste,CE,Fabio Lima
V00058,2026-01-18,106,Mercearia,20,320.84,Meireles,Nordeste,CE,Fabio Lima
V00059,2026-01-20,106,Padaria,45,655.05,Meireles,Nordeste,CE,Fabio Lima
V00060,2026-01-07,106,Padaria,26,305.37,Meireles,Nordeste,CE,Fabio Lima
V00061,2026-01-21,107,Bebidas,177,6686.03,Moinhos,Sul,RS,Gisele Kunz
V00062,2026-01-20,107,Bebidas,84,3635.26,Moinhos,Sul,RS,Gisele Kunz
V00063,2026-01-04,107,Higiene,113,2819.82,Moinhos,Sul,RS,Gisele Kunz
V00064,2026-01-15,107,Higiene,144,4051.12,Moinhos,Sul,RS,Gisele Kunz
V00065,2026-01-03,107,Limpeza,142,2885.02,Moinhos,Sul,RS,Gisele Kunz
V00066,2026-01-11,107,Limpeza,56,1031.43,Moinhos,Sul,RS,Gisele Kunz
V00067,2026-01-23,107,Mercearia,87,1366.13,Moinhos,Sul,RS,Gisele Kunz
V00068,2026-01-07,107,Mercearia,61,966.72,Moinhos,Sul,RS,Gisele Kunz
V00069,2026-01-23,107,Padaria,155,1965.03,Moinhos,Sul,RS,Gisele Kunz
V00070,2026-01-25,107,Padaria,159,2296.8,Moinhos,Sul,RS,Gisele Kunz
V00071,2026-02-21,101,Bebidas,155,5739.94,Asa Norte,Centro-Oeste,DF,Marina Alves
V00072,2026-02-09,101,Bebidas,43,1755.0,Asa Norte,Centro-Oeste,DF,Marina Alves
V00073,2026-02-06,101,Higiene,152,3693.0,Asa Norte,Centro-Oeste,DF,Marina Alves
V00074,2026-02-18,101,Higiene,111,2972.37,Asa Norte,Centro-Oeste,DF,Marina Alves
V00075,2026-02-11,101,Limpeza,158,3442.16,Asa Norte,Centro-Oeste,DF,Marina Alves
V00076,2026-02-26,101,Limpeza,77,1613.98,Asa Norte,Centro-Oeste,DF,Marina Alves
V00077,2026-02-27,101,Mercearia,69,1170.47,Asa Norte,Centro-Oeste,DF,Marina Alves
V00078,2026-02-08,101,Mercearia,122,2038.44,Asa Norte,Centro-Oeste,DF,Marina Alves
V00079,2026-02-12,101,Padaria,71,935.53,Asa Norte,Centro-Oeste,DF,Marina Alves
V00080,2026-02-26,101,Padaria,27,396.54,Asa Norte,Centro-Oeste,DF,Marina Alves
V00081,2026-02-07,102,Bebidas,91,3520.45,Taguatinga,Centro-Oeste,DF,Bruno Sato
V00082,2026-02-15,102,Bebidas,174,7531.92,Taguatinga,Centro-Oeste,DF,Bruno Sato
V00083,2026-02-12,102,Higiene,109,3041.03,Taguatinga,Centro-Oeste,DF,Bruno Sato
V00084,2026-02-08,102,Higiene,40,936.01,Taguatinga,Centro-Oeste,DF,Bruno Sato
V00085,2026-02-07,102,Limpeza,140,2644.41,Taguatinga,Centro-Oeste,DF,Bruno Sato
V00086,2026-02-20,102,Limpeza,143,3005.11,Taguatinga,Centro-Oeste,DF,Bruno Sato
V00087,2026-02-21,102,Mercearia,20,314.12,Taguatinga,Centro-Oeste,DF,Bruno Sato
V00088,2026-02-03,102,Mercearia,108,1829.37,Taguatinga,Centro-Oeste,DF,Bruno Sato
V00089,2026-02-26,102,Padaria,50,721.56,Taguatinga,Centro-Oeste,DF,Bruno Sato
V00090,2026-02-06,102,Padaria,71,926.53,Taguatinga,Centro-Oeste,DF,Bruno Sato
V00091,2026-02-11,103,Bebidas,131,5462.28,Moema,Sudeste,SP,Carla Nunes
V00092,2026-02-24,103,Bebidas,42,1755.93,Moema,Sudeste,SP,Carla Nunes
V00093,2026-02-24,103,Higiene,121,3011.31,Moema,Sudeste,SP,Carla Nunes
V00094,2026-02-06,103,Higiene,41,1086.07,Moema,Sudeste,SP,Carla Nunes
V00095,2026-02-19,103,Limpeza,52,938.45,Moema,Sudeste,SP,Carla Nunes
